ConditionID,DecisionGrade,ZeroWindow,TimeSinceShutoff_s,CResidual,RResidual,LResidual
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,34,10425.0,5.296797631469033e-13,2.2283938823526577e-20,0.0012742333232117966
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,35,10725.0,5.376654568141265e-13,2.2289181484629655e-20,0.0010432540083102537
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,36,11025.0,5.444915117089006e-13,2.2293649648166148e-20,0.000854144139875477
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,37,11325.0,5.534148227834048e-13,2.2299470869419875e-20,0.0006993140748773944
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,38,11625.0,5.620374399499174e-13,2.2305073196632042e-20,0.0005725499391624015
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,39,11925.0,5.721473649422839e-13,2.2311611422784012e-20,0.0004687642428651856
PRI_CENTER_F0p666667,DECISION_GRADE_PHYSICAL_SCREEN,40,12225.0,5.824560334035638e-13,2.2318242199134286e-20,0.0003837917015770433
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,1,525.0,0.04978920839991122,0.08744942008969095,0.9057546987270282
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,2,825.0,0.009774520609359467,0.003765637056045505,0.7477900516917212
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,3,1125.0,0.0019105718486379837,0.00014444094984699752,0.6124884213286371
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,4,1425.0,0.00037376045845400035,5.524935038012981e-06,0.5014726659908145
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,5,1725.0,7.316715087437734e-05,2.11648250552424e-07,0.41057145945267803
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,6,2025.0,1.4328094292855776e-05,8.114870941340059e-09,0.3361474942172265
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,7,2325.0,2.8062870466875366e-06,3.1126637897945786e-10,0.27521429162370586
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,8,2625.0,5.496792980023538e-07,1.1941792598693121e-11,0.22532640425953734
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,9,2925.0,1.0767192338128054e-07,4.58192111371364e-13,0.18448165664855656
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,10,3225.0,2.1091282408513284e-08,1.7581064946268488e-14,0.15104080567697675
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,11,3525.0,4.13149414679811e-09,6.746223738077555e-16,0.12366175257741747
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,12,3825.0,8.093138722450265e-10,2.5900921774138454e-17,0.10124567981465211
PRI_CENTER_F1p0,DECISION_GRADE_PHYSICAL_SCREEN,13,4125.0,1.5857455661178608e-10,1.0085998878844448e-18,0.08289295168054236
